bookid;name;author;genre;lang
1;Harry Potter and the Half-Blood Prince (Harry Potter #6);J.K. Rowling;Fantasy;English
2;Harry Potter and the Order of the Phoenix (Harry Potter #5);J.K. Rowling;Fantasy;English
3;Harry Potter and the Sorcerer's Stone (Harry Potter #1);J.K. Rowling;Fantasy;English
4;Harry Potter and the Chamber of Secrets (Harry Potter #2);J.K. Rowling;Young Adult;English
5;Harry Potter and the Prisoner of Azkaban (Harry Potter #3);J.K. Rowling;Fantasy;English
6;Harry Potter and the Goblet of Fire (Harry Potter #4);J.K. Rowling;Fantasy;English
10;Harry Potter Collection (Harry Potter #1-6);J.K. Rowling;Fantasy;English
11;The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1);Douglas Adams;Science Fiction;English
12;The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy #1-5 & short story);Douglas Adams;Science Fiction;English
13;The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1-5 & short story);Douglas Adams;Science Fiction;English
21;A Short History of Nearly Everything;Bill Bryson;History;English
30;J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings (The Lord of the Rings 0-3);J.R.R. Tolkien;Fantasy;English
33;The Lord of the Rings (The Lord of the Rings #1-3);J.R.R. Tolkien;Adventure;English
34;The Fellowship of the Ring (The Lord of the Rings #1);J.R.R. Tolkien;Classics;English
40;Cooking with Fernet Branca (Gerald Samper  #1);James Hamilton-Paterson;Fiction;English
45;Agile Web Development with Rails: A Pragmatic Guide;Dave Thomas;Science;English
48;The Bucaneers;Edith Wharton;Classics;English
50;Hatchet (Brian's Saga #1);Gary Paulsen;Young Adult;English
61;The Changeling;Zilpha Keatley Snyder;Fiction;English
93;Heidi (Heidi #1-2);Johanna Spyri;Classics;English
103;God Emperor of Dune (Dune #4);Frank Herbert;Science Fiction;English
104;Dune (Dune #1);Frank Herbert;Science Fiction;English
105;Chapterhouse: Dune (Dune #6);Frank Herbert;Science Fiction;English
106;Dune Messiah (Dune #2);Frank Herbert;Fiction;English
112;Children of Dune (Dune #3);Frank Herbert;Science Fiction;English
117;Heretics of Dune (Dune #5);Frank Herbert;Science Fiction;English
122;The Power of One (The Power of One #1);Bryce Courtenay;Fiction;English
151;Anna Karenina;Leo Tolstoy;Classics;English
155;Anna Karenina;Leo Tolstoy;Classics;English
274;The Portrait of a Lady;Henry James;Classics;English
286;The Prophet;Kahlil Gibran;Poetry;English
295;Treasure Island;Robert Louis Stevenson;Classics;English
304;Daniel Deronda;George Eliot;Classics;English
320;One Hundred Years of Solitude;Gabriel GarcÃ­a MÃ¡rquez;Magical Realism;English
343;Perfume: The Story of a Murderer;Patrick SÃ¼skind;Mystery;English
350;Stranger in a Strange Land;Robert A. Heinlein;Science Fiction;English
360;Mostly Harmless (Hitchhiker's Guide to the Galaxy #5);Douglas Adams;Science Fiction;English
361;Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3);Douglas Adams;Science Fiction;English
378;The Phantom Tollbooth;Norton Juster;Fantasy;English
478;Bowling Alone: The Collapse and Revival of American Community;Robert D. Putnam;Nonfiction;English
493;My Inventions;Nikola Tesla;Nonfiction;English
553;Storage (Chic Simple) (Chic Simple Components);Jennifer Lisle;Unknown;English
563;CSS Mastery: Advanced Web Standards Solutions;Andy Budd;Design;English
647;No Logo;Naomi Klein;Nonfiction;English
655;The Death of Ivan Ilych And Other Stories;Leo Tolstoy;Fiction;English
656;War and Peace;Leo Tolstoy;Classics;English
662;Atlas Shrugged;Ayn Rand;Fiction;English
668;We the Living;Ayn Rand;Classics;English
685;The Natural;Bernard Malamud;Fiction;English
771;The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory;Brian Greene;Science;English
776;Buddhism Plain and Simple;Steve Hagen;Religion;English
792;London: City Guide (Lonely Planet City Guide);Lonely Planet;Travel;English
816;Cryptonomicon;Neal Stephenson;Fiction;English
823;Quicksilver (The Baroque Cycle #1);Neal Stephenson;Fiction;English
828;Interface;Neal Stephenson;Science Fiction;English
